height,time,diff
594269,1568168270,10771996663680.4
594270,1568168538,10771996663680.4
594271,1568168584,10771996663680.4
594272,1568169556,10771996663680.4
594273,1568170027,10771996663680.4
594274,1568170287,10771996663680.4
594275,1568171360,10771996663680.4
594276,1568172079,10771996663680.4
594277,1568172400,10771996663680.4
594278,1568174696,10771996663680.4
594279,1568175523,10771996663680.4
594280,1568176377,10771996663680.4
594281,1568176651,10771996663680.4
594282,1568176877,10771996663680.4
594283,1568176980,10771996663680.4
594284,1568177391,10771996663680.4
594285,1568177489,10771996663680.4
594286,1568178118,10771996663680.4
594287,1568179094,10771996663680.4
594288,1568179161,10771996663680.4
594289,1568180453,10771996663680.4
594290,1568181712,10771996663680.4
594291,1568182580,10771996663680.4
594292,1568182690,10771996663680.4
594293,1568182798,10771996663680.4
594294,1568183074,10771996663680.4
594295,1568183043,10771996663680.4
594296,1568183131,10771996663680.4
594297,1568183681,10771996663680.4
594298,1568183759,10771996663680.4
594299,1568184161,10771996663680.4
594300,1568184230,10771996663680.4
594301,1568184426,10771996663680.4
594302,1568184490,10771996663680.4
594303,1568184471,10771996663680.4
594304,1568185452,10771996663680.4
594305,1568185508,10771996663680.4
594306,1568186283,10771996663680.4
594307,1568186691,10771996663680.4
594308,1568186719,10771996663680.4
594309,1568187132,10771996663680.4
594310,1568187611,10771996663680.4
594311,1568187961,10771996663680.4
594312,1568188853,10771996663680.4
594313,1568189030,10771996663680.4
594314,1568189122,10771996663680.4
594315,1568189411,10771996663680.4
594316,1568189581,10771996663680.4
594317,1568189840,10771996663680.4
594318,1568191115,10771996663680.4
594319,1568191194,10771996663680.4
594320,1568193050,10771996663680.4
594321,1568193951,10771996663680.4
594322,1568194231,10771996663680.4
594323,1568194336,10771996663680.4
594324,1568194392,10771996663680.4
594325,1568194827,10771996663680.4
594326,1568194920,10771996663680.4
594327,1568196903,10771996663680.4
594328,1568197586,10771996663680.4
594329,1568197603,10771996663680.4
594330,1568197800,10771996663680.4
594331,1568197845,10771996663680.4
594332,1568198145,10771996663680.4
594333,1568198388,10771996663680.4
594334,1568198939,10771996663680.4
594335,1568199217,10771996663680.4
594336,1568199530,10771996663680.4
594337,1568199670,10771996663680.4
594338,1568199706,10771996663680.4
594339,1568199796,10771996663680.4
594340,1568199895,10771996663680.4
594341,1568200063,10771996663680.4
594342,1568200649,10771996663680.4
